source_stop_id,target_stop_id,weight,mode,line,route_short_name,route_long_name,transfer,distance_meters,estimated_time_min,data_source
LTFRB_4791,LTFRB_4792,2.53,jeep,LTFRB_PUJ2396,,Polo Sangandaan via Tenejeros,False,309.43,2.53,gtfs
LTFRB_4792,LTFRB_4791,2.53,jeep,LTFRB_PUJ2395,,Polo Sangandaan via Tenejeros,False,309.43,2.53,gtfs
LTFRB_4792,LTFRB_4793,2.36,jeep,LTFRB_PUJ2396,,Polo Sangandaan via Tenejeros,False,257.1,2.36,gtfs
LTFRB_4793,LTFRB_270,2.42,jeep,LTFRB_PUJ2396,,Polo Sangandaan via Tenejeros,False,277.45,2.42,gtfs
LTFRB_4793,LTFRB_4792,2.36,jeep,LTFRB_PUJ2395,,Polo Sangandaan via Tenejeros,False,257.1,2.36,gtfs
LTFRB_4794,LTFRB_4087,1.92,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,126.52,1.92,gtfs
LTFRB_4795,LTFRB_4794,3.39,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,566.2,3.39,gtfs
LTFRB_4796,LTFRB_4795,3.34,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,551.26,3.34,gtfs
LTFRB_4797,LTFRB_4796,3.01,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,453.66,3.01,gtfs
LTFRB_4798,LTFRB_4797,2.62,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,334.55,2.62,gtfs
LTFRB_4799,LTFRB_4798,3.29,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,537.63,3.29,gtfs
LTFRB_48,LTFRB_42,1.88,jeep,LTFRB_PUJ1469,,Meycauayan - Monumento via McArthur Hi-way,False,112.59,1.88,gtfs
LTFRB_48,LTFRB_46,2.25,jeep,LTFRB_PUJ1468,,Meycauayan - Monumento via McArthur Hi-way,False,225.18,2.25,gtfs
LTFRB_480,LTFRB_479,2.59,jeep,LTFRB_PUJ1877,,NOVA-TALA,False,327.32,2.59,gtfs
LTFRB_480,LTFRB_481,2.32,jeep,LTFRB_PUJ1500,,Novaliches - Tala via Quirino,False,244.63,2.32,gtfs
LTFRB_4800,LTFRB_4799,3.3,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,540.38,3.3,gtfs
LTFRB_4801,LTFRB_4800,3.29,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,537.63,3.29,gtfs
LTFRB_4802,LTFRB_4801,3.01,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,453.65,3.01,gtfs
LTFRB_4803,LTFRB_4802,3.65,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,645.01,3.65,gtfs
LTFRB_4804,LTFRB_4803,3.76,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,678.73,3.76,gtfs
LTFRB_4805,LTFRB_4804,4.27,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,832.38,4.27,gtfs
LTFRB_481,LTFRB_480,2.32,jeep,LTFRB_PUJ2270,,TALA NOVALICHES via QUIRINO AVENUE,False,244.63,2.32,gtfs
LTFRB_481,LTFRB_482,2.61,jeep,LTFRB_PUJ1500,,Novaliches - Tala via Quirino,False,333.58,2.61,gtfs
LTFRB_4811,LTFRB_4805,2.59,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,325.68,2.59,gtfs
LTFRB_4812,LTFRB_4811,2.64,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,342.7,2.64,gtfs
LTFRB_4813,LTFRB_4812,3.02,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,457.3,3.02,gtfs
LTFRB_4814,LTFRB_4813,2.93,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,430.13,2.93,gtfs
LTFRB_4815,LTFRB_4814,2.58,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,322.68,2.58,gtfs
LTFRB_4816,LTFRB_132,2.76,jeep,LTFRB_PUJ2543,,Malinta Sta. Maria via McArthur,False,378.36,2.76,gtfs
LTFRB_4817,LTFRB_4815,2.32,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,247.35,2.32,gtfs
LTFRB_4818,LTFRB_4817,2.28,jeep,LTFRB_PUJ2411,,Sampol Meycauayan via San Jose,False,232.67,2.28,gtfs
